what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1328742038157
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1328742038197
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1328742038210
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1328742038218
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1328742038230
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1328742038230
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1328742038246
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1328742038270
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1328742038284
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1328742038308
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1328742038330
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1328742038394
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1328742038414
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1328742038446
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1328742038465
os,sysinfo,,,"win32",1328742038469
arch,sysinfo,,,"x86",1328742038469
ws,sysinfo,,,"win32",1328742038469
locale,sysinfo,,,"en_CA",1328742038469
processors,sysinfo,,,"4",1328742038469
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1328742038469
java.runtime.version,sysinfo,,,"1.6.0_27-b07",1328742038469
java.specification.name,sysinfo,,,"Java Platform API Specification",1328742038469
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328742038469
java.specification.version,sysinfo,,,"1.6",1328742038469
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1328742038469
java.version,sysinfo,,,"1.6.0_27",1328742038469
java.vm.info,sysinfo,,,"mixed mode, sharing",1328742038469
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1328742038469
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1328742038469
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328742038469
java.vm.specification.version,sysinfo,,,"1.0",1328742038469
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1328742038469
java.vm.version,sysinfo,,,"20.2-b06",1328742038469
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1328742676446
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1328742676549
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1328742677135
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1328742677233
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1328742677718
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1328742677797
opened,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1328742678504
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1328742678635
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1328742679091
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1328742679781
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1328742680402
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1328742680718
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1328742680923
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1328742681283
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328742681429
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328742684332
error,log,,,"Unhandled event loop exception",1328742684415
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328742689087
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328742690521
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1328742690531
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1328742716558
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1328742717444
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1328742717995
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1328742718448
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1328742718938
